Frame=0, file=10.mp4, base=10.mp4, orig=LOW, new=HIGH
Frame=10, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=20, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=30, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=40, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=50, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=60, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=70, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=80, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=90, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=100, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=110, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=120, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=130, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=140, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=150, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=160, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=170, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=180, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=190, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=200, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=210, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=220, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=230, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=240, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=250, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=260, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=270, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=280, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=290, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=300, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=310, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=320, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=330, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=340, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=350, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=360, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=370, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=380, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=390, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=400, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=410, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=420, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=430, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=440, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=450, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=460, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=470, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=480, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
